"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PROSER1",11.442007187811,0.230559262784252,0.533709053290385,0.431994288578813,0.665745564235282,1
"SEC23A",49.9902252070597,0.500781013476465,0.481042351288382,1.04103310682566,0.297860183262753,1
"FOXA1",67.953205235501,0.125525849403371,0.326899265720042,0.38398938929056,0.700986311900375,1
"MIPOL1",1.1514865736056,0.0318566935047271,0.554535767323605,0.0574475000205656,0.954188725905939,1
"SLC25A21",1.48571214388414,0.847739706359017,0.549933032056082,1.54153261750708,0.123187210800447,1
"MBIP",4.82040709103835,0.0348979785365025,0.555158898175718,0.0628612432425727,0.949876997189849,1
"BRMS1L",28.0730045421356,0.184038048012834,0.35359237232808,0.520480820333067,0.602728492426263,1
"RALGAPA1",45.9054393351092,0.0802570089550772,0.392760909807465,0.204340622885358,0.838087327142948,1
"NFKBIA",0.580361091319572,-0.480648386885369,0.486715452513442,-0.987534676376635,0.323380592113788,1
"PSMA6",40.5038672566762,-0.510540603580135,0.405887930064292,-1.25783637739429,0.208450936751859,1
"PPP2R3C",54.3833107519536,-0.100990110641985,0.366803625899116,-0.275324733757569,0.783066763704233,1
"FAM177A1",18.1750760684765,-0.240518978204696,0.534018359053685,-0.450394586865724,0.6524259474336,1
"SRP54",173.662313193475,0.221894186248503,0.325641980553657,0.681405345438686,0.495615041450258,1
"BAZ1A",13.5694565405449,0.380527312838122,0.454862874614082,0.836575887097781,0.402831004129777,1
"CFL2",1554.4304901847,-0.0563847054424381,0.544763667124649,-0.103503058014213,0.917563722587118,1
"SNX6",65.2973675733011,0.435721570145289,0.440477650765385,0.989202447361787,0.322564101258829,1
"EAPP",1.09145639104115,0.0242281294438167,0.563502119344829,0.0429956314485316,0.965705016234173,1
"SPTSSA",22.7984008449422,0.393872258781479,0.316638063773536,1.24391948992962,0.2135291954665,1
"NPAS3",21.9385084587294,0.495898225408839,0.547671228788905,0.905467001626952,0.365218033925822,1
"AKAP6",23.7907036194449,-0.158253786793171,0.561045698519597,-0.282069334478007,0.777890346423689,1
"ARHGAP5",43.6580855758524,0.407115280109336,0.367524839657797,1.10772180864945,0.267981977792936,1
"HEATR5A",1.67822643127819,0.204275796094163,0.560483916235927,0.364463261436705,0.715512103107505,1
"HECTD1",851.683513778476,-0.303091115263871,0.399744006757337,-0.758213031691208,0.448323460995372,1
"AP4S1",0.107312734253564,0.0644648420602816,0.310564520147233,0.207573105999745,0.83556230527467,1
"STRN3",588.0298945,0.0111102927535511,0.470926931345216,0.0235923919700541,0.981177740792134,1
"SCFD1",61.4107042916678,0.461997993993787,0.364584900943346,1.26718904924035,0.205087700442123,1
"G2E3",0.75290068786052,-0.336716050159422,0.553137901164395,-0.608737982789845,0.542698126467965,1
"PRKD1",39.2676419760071,-0.201405562261872,0.557582883433695,-0.361211881221282,0.717941060967444,1
"FOXG1",0.0371505614284563,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"NOVA1",77.1137437518524,0.203339720364157,0.548132173284147,0.370968409217512,0.710661061314683,1
"LOC114593163",0.0518849913614076,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"STXBP6",2.13047632963314,0.0205868520966644,0.557353990446077,0.0369367627209195,0.970535427324003,1
"GJD2",0.0604015550896564,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"ACTC1",3950.82046686797,0.00265577022370569,0.397719114343964,0.00667750210619464,0.994672163758614,1
"AQR",22.2247168322009,0.0592804744439797,0.422070985340963,0.140451432348734,0.888303323400719,1
"DPH6",0.101301609397096,-0.030812003432163,0.310564520147233,-0.0992128895392031,0.92096924098009,1
"C1H15orf41",1.82251293281053,-0.335338488938446,0.562181372470125,-0.596495197742017,0.550844461040727,1
"MEIS2",108.300841244621,-0.182626782449678,0.549547859677913,-0.332321888318726,0.739646213706612,1
"LOC114593462",0.813672994986452,-0.516876484927374,0.523595467046077,-0.987167608312944,0.323560478380317,1
"SPRED1",3.10588073940663,0.41832188699859,0.536605543553918,0.779570565425135,0.435643687012825,1
"FAM98B",0.107312734253564,0.0644648420602816,0.310564520147233,0.207573105999745,0.83556230527467,1
"RASGRP1",0.727632056555737,-0.10706307045952,0.515391862782261,-0.207731394674252,0.835438702951878,1
"ARHGAP11A",0.0371505614284563,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"FMN1",0.345707446944769,-0.125275934752279,0.310622506647894,-0.403306045348107,0.686723095000461,1
"RYR3",0.250316676817699,-0.17372727167083,0.310564520147233,-0.559391882847625,0.575894299895849,1
"EMC7",45.3025160486388,-0.0236336285407876,0.351512092499402,-0.0672341835319018,0.946395272159359,1
"KATNBL1",1.22061990861647,0.932926495446947,0.56144331931995,1.66165748766404,0.0965814696558637,1
"THBS1",20.103281846579,0.57250579246368,0.483037512278838,1.18522014938913,0.235930415238778,1
"EIF2AK4",0.441649021808531,0.358541364982697,0.498601081997055,0.719094638837576,0.472082610356058,1
"SRP14",21.9609812871589,0.340037993313862,0.474807083594459,0.716160320818411,0.473892360761618,1
"PLCB2",0.205402807187415,0.0644648420602816,0.310564520147233,0.207573105999745,0.83556230527467,1
"INAFM2",4.1942572602589,0.0402494097546318,0.539061571027593,0.0746657003909699,0.940480698589254,1
"CCDC9B",0.152713306903282,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"IVD",3.83638109604461,-0.334740711754435,0.514700186667702,-0.650360579664115,0.515459334379587,1
"BAHD1",21.157992143179,-0.450175349871157,0.382285068959236,-1.1775907207068,0.238959810969435,1
"CCDC32",1.83310549707698,0.335217262257446,0.563061627500887,0.595347375642141,0.551611294098512,1
"RPUSD2",3.09558526385195,-0.083796306617801,0.55893635855271,-0.149921015757107,0.880826930931173,1
"RAD51",0.0602686554597303,0,0.310564520147233,0,1,1
"GCHFR",0.0648955707884264,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"DNAJC17",46.588939484341,0.251897012150567,0.398330936401816,0.632381241652961,0.527137788392008,1
"ZFYVE19",0.0604015550896564,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"VPS18",2.41021026820253,0.230706041989432,0.557149550861868,0.41408279273051,0.678813474168364,1
"DLL4",1.02563859964637,-0.373574094975099,0.541438265203302,-0.689966186329346,0.490215451773667,1
"CHAC1",0.270026442643942,0,0.310564520147233,0,1,1
"INO80",10.8708512784268,0.0649865193677246,0.423132428037628,0.153584351048475,0.877937476584706,1
"CHP1",25.460231375186,0.772728486604308,0.438865381682347,1.76074149125668,0.0782821667244956,1
"LOC114594065",24.4573898921347,-0.0903390464664589,0.515408803380947,-0.175276490959911,0.860862383301507,1
"NDUFAF1",0.144553305080483,0.0168264193140593,0.310564520147233,0.0541801082302711,0.95679166873566,1
"RTF1",94.7413351025892,0.65540128089565,0.399250362157808,1.64157967785786,0.100677142089801,1
"ITPKA",0.545342778543607,0.166335013582696,0.447577039178513,0.371634375811566,0.710165091146766,1
"TYRO3",4.50685411494532,-0.581849365854874,0.549895218338723,-1.05810952059683,0.290005514434599,1
"MAPKBP1",4.42965651368169,0.117056740339802,0.561732187337001,0.208385317734297,0.834928119451623,1
"JMJD7",1.57467854243026,0.613693203705574,0.563546393085487,1.08898435201675,0.276160786217931,1
"EHD4",0.379152905216341,-0.0918882909587162,0.445486870513823,-0.206264868934819,0.836584018983631,1
"VPS39",8.24135804105396,0.107114748348338,0.500530961490177,0.214002242797203,0.830545308197502,1
"TMEM87A",67.8445276435501,0.567852659287975,0.454063495761039,1.25060187526464,0.211079766099694,1
"GANC",0.0518849913614076,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"CAPN3",3.19408817839839,-0.0159281872515711,0.453099064885382,-0.0351538735918609,0.971957043017766,1
"ZNF106",11.4799361395505,-0.0578975998730982,0.552198145958185,-0.104849319572838,0.916495374332224,1
"LRRC57",0.370225526159112,-0.087110875530561,0.441429347125035,-0.197338206211031,0.843562882907928,1
"STARD9",0.296942369322086,-0.288271297020258,0.386458260408313,-0.745931259732124,0.455708940693886,1
"LOC114594448",11.9268187376924,0.764844185817537,0.492743728473347,1.55221495804164,0.120610798183626,1
"TTBK2",1.07035482687891,0.521805873320295,0.542974245165639,0.961014040658805,0.336545108163662,1
"UBR1",1.07478498738129,0.0437926081842146,0.56184163625844,0.0779447541051774,0.937871999047993,1
"DNAL1",1.33217864911846,0.0615079202524169,0.553347263513779,0.111156093665014,0.911492567979552,1
"LOC114594511",0.215600945418138,0.105388201089298,0.31072949451654,0.339163815952747,0.734486326112783,1
"NUMB",45.354369444522,0.178947447779768,0.479666704885265,0.373066226938916,0.70909915406412,1
